item(waiter,s0,msg(autoStartSysMsg,dispatch,waiter,waiter,start,13)).
item(waiter,s0,msg(waiterwalkerstarted,event,waiterwalker,none,waiterwalkerstarted(ok),21)).
item(waiter,listening,msg(walkerstarted,event,walker,none,walkerstarted(0),25)).
discard(waiter,listening,msg(walkerstarted,event,walker,none,walkerstarted(0),25)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,26)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),27)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,30)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),31)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,37)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),38)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,41)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),42)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,45)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),46)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,49)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),50)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,53)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),54)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,57)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),58)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,61)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),62)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,65)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),66)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,69)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),70)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,73)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),74)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,77)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),78)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,81)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),82)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,85)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),86)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,89)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),90)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,93)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),94)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,97)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),98)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,101)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),102)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,105)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),106)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,109)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),110)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,113)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),114)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,117)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),118)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,121)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),122)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,125)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),126)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,129)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),130)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,133)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),134)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,137)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),138)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,141)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),142)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,145)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),146)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,149)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),150)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,153)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),154)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,157)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),158)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,161)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),162)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,165)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),166)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,169)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),170)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,173)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),174)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,177)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),178)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,181)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),182)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,185)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),186)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,189)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),190)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,193)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),194)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,197)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),198)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,201)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),202)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,205)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),206)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,209)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),210)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,213)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),214)).
item(waiter,listening,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,217)).
item(waiter,goHome,msg(rest,dispatch,waiter,waiter,rest(0),218)).
