item(waiterwalker,s0,msg(autoStartSysMsg,dispatch,waiterwalker,waiterwalker,start,15)).
item(waiterwalker,s0,msg(waiterwalkerstarted,event,waiterwalker,none,waiterwalkerstarted(ok),21)).
discard(waiterwalker,s0,msg(waiterwalkerstarted,event,waiterwalker,none,waiterwalkerstarted(ok),21)).
item(waiterwalker,s0,msg(walkerstarted,event,walker,none,walkerstarted(0),25)).
item(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,26)).
discard(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,26)).
item(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,30)).
discard(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,30)).
item(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,34)).
discard(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,34)).
item(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,38)).
discard(waiterwalker,waitCmd,msg(local_tout_waiter_listening,event,timer_listening,none,local_tout_waiter_listening,38)).
