item(basicrobot,s0,msg(autoStartSysMsg,dispatch,basicrobot,basicrobot,start,7)).
item(basicrobot,work,msg(waiterwalkerstarted,event,waiterwalker,none,waiterwalkerstarted(ok),23)).
discard(basicrobot,work,msg(waiterwalkerstarted,event,waiterwalker,none,waiterwalkerstarted(ok),23)).
item(basicrobot,work,msg(cmd,dispatch,walker,basicrobot,cmd(l),24)).
item(basicrobot,work,msg(cmd,dispatch,walker,basicrobot,cmd(r),27)).
item(basicrobot,work,msg(walkerstarted,event,walker,none,walkerstarted(0),28)).
discard(basicrobot,work,msg(walkerstarted,event,walker,none,walkerstarted(0),28)).
item(basicrobot,work,msg(step,request,walker,basicrobot,step(360),142)).
item(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(30,sonar1),12)).
discard(basicrobot,doStep,msg(local_sonar,event,robotsonar,none,sonar(30,sonar1),12)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,13)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,16)).
item(basicrobot,work,msg(step,request,walker,basicrobot,step(360),143)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,20)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,23)).
item(basicrobot,work,msg(step,request,walker,basicrobot,step(360),144)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,27)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,30)).
item(basicrobot,work,msg(step,request,walker,basicrobot,step(360),145)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,34)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,37)).
